title,year,runtime_minutes,genres,average_rating,num_votes
Sea Monsters: Search for the Giant Squid,1998,55,Documentary,6.9,41
The Monster Man,2001,109,NA,3.9,78
Bride of Monster Mania,2000,50,"Documentary,Horror",7,75
Monsters,2001,NA,NA,4.3,21
Monster Mania,1997,62,"Comedy,Documentary,Drama",7.4,116
Attack of the 50 Foot Monster Mania,1999,56,"Documentary,Horror",7.3,152
For Those About to Rock: Monsters in Moscow,1992,84,"Documentary,Music",9,249
Big Head Monster,2001,89,"Horror,Mystery",5.3,275
Green-Eyed Monster,2001,100,"Crime,Drama,Mystery",6.4,99
100 Years of Horror: The Monster Makers,1996,NA,"Documentary,Horror,Sci-Fi",6.1,40
The Loch Ness Monster: Proof at Last!,1936,NA,Documentary,5.6,26
"Stan Lee's Mutants, Monsters & Marvels",2002,95,Documentary,7,948
The Monster,1954,115,"Action,Crime,Drama",6.6,114
Party Monster,2003,98,"Biography,Crime,Drama",6.2,17443
Bud Abbott and Lou Costello Meet the Monsters!,2000,34,Short,7.2,260
The Frankenstein Files: How Hollywood Made a Monster,2002,45,"Documentary,Horror,Short",7.1,361
Monster Hunters,2002,100,Documentary,4.9,16
The World of Gods and Monsters: A Journey with James Whale,1999,29,"Documentary,Short",7.2,179
Scooby-Doo 2: Monsters Unleashed,2004,93,"Adventure,Comedy,Family",5.3,66656
"Monsters, Madmen & Machines: 80 Years of Science Fiction",1983,45,"Documentary,Drama,Fantasy",5.2,17
Monster,2003,109,"Biography,Crime,Drama",7.3,164888
Rainbow Bird & Monster Man,2002,52,NA,8.2,15
Jack Pierce: The Man Behind the Monsters,2002,72,"Biography,Documentary",7.2,33
Monsters,1993,89,"Sci-Fi,Thriller",2.6,169
Godzilla and Other Movie Monsters,1998,88,Documentary,5.9,81
Monster Makers,2003,88,"Family,Fantasy,Sci-Fi",5,299
Monster Man,2003,95,"Adventure,Comedy,Horror",5.6,5282
Monster-in-Law,2005,101,"Comedy,Romance",5.6,66454
Scooby-Doo and the Monster of Mexico,2003,75,"Adventure,Animation,Comedy",6.3,5104
Stan Winston: Monster Mogul,2003,5,"Documentary,Horror,Short",5.2,60
The World's Greatest Monster,2003,72,Drama,7.4,47
The Monster of Toros,1961,93,Adventure,4,28
